time,sfe,ssip,rfip,type
"03/06/2024, 19:48:57",1,0,1.0,0
"03/06/2024, 19:48:59",4,3,1.0,0
"03/06/2024, 19:49:01",0,0,1.0,0
"03/06/2024, 19:49:03",6,3,1.0,0
"03/06/2024, 19:49:05",2,1,1.0,0
"03/06/2024, 19:49:07",4,1,1.0,0
"03/06/2024, 19:49:09",0,0,1.0,0
"03/06/2024, 19:49:11",2,0,1.0,0
"03/06/2024, 19:49:13",8,2,1.0,0
"03/06/2024, 19:49:15",2,0,1.0,0
"03/06/2024, 19:49:17",2,0,1.0,0
"03/06/2024, 19:49:19",4,0,1.0,0
"03/06/2024, 19:49:21",0,0,1.0,0
"03/06/2024, 19:49:23",0,0,1.0,0
"03/06/2024, 19:49:25",0,0,1.0,0
"03/06/2024, 19:49:27",0,0,1.0,0
"03/06/2024, 19:49:29",6,0,1.0,0
"03/06/2024, 19:49:31",10,0,1.0,0
"03/06/2024, 19:49:33",4,0,1.0,0
"03/06/2024, 19:49:35",0,0,1.0,0
"03/06/2024, 19:49:37",0,0,1.0,0
"03/06/2024, 19:49:39",2,0,1.0,0
"03/06/2024, 19:49:41",2,0,1.0,0
"03/06/2024, 19:49:43",4,0,1.0,0
"03/06/2024, 19:49:45",0,0,1.0,0
"03/06/2024, 19:49:47",2,0,1.0,0
"03/06/2024, 19:49:49",2,0,1.0,0
"03/06/2024, 19:49:51",2,0,1.0,0
"03/06/2024, 19:49:53",0,0,1.0,0
"03/06/2024, 19:49:55",0,0,1.0,0
"03/06/2024, 19:49:57",2,0,1.0,0
"03/06/2024, 19:49:59",4,0,1.0,0
"03/06/2024, 19:50:01",2,0,1.0,0
"03/06/2024, 19:50:03",0,0,1.0,0
"03/06/2024, 19:50:05",0,0,1.0,0
"03/06/2024, 19:50:07",0,0,1.0,0
"03/06/2024, 19:50:09",0,0,1.0,0
"03/06/2024, 19:50:11",2,0,1.0,0
"03/06/2024, 19:50:13",4,0,1.0,0
"03/06/2024, 19:50:15",2,0,1.0,0
"03/06/2024, 19:50:17",0,0,1.0,0
"03/06/2024, 19:50:19",0,0,1.0,0
"03/06/2024, 19:50:21",0,0,1.0,0
"03/06/2024, 19:50:23",0,0,1.0,0
"03/06/2024, 19:50:25",0,0,1.0,0
"03/06/2024, 19:50:27",4,0,1.0,0
"03/06/2024, 19:50:29",0,0,1.0,0
"03/06/2024, 19:50:31",2,0,1.0,0
"03/06/2024, 19:50:33",0,0,1.0,0
"03/06/2024, 19:50:35",0,0,1.0,0
"03/06/2024, 19:50:37",0,0,1.0,0
"03/06/2024, 19:50:39",0,0,1.0,0
"03/06/2024, 19:50:41",0,0,1.0,0
"03/06/2024, 19:50:43",0,0,1.0,0
"03/06/2024, 19:50:45",0,0,1.0,0
"03/06/2024, 19:50:47",0,0,1.0,0
"03/06/2024, 19:50:49",0,0,1.0,0
"03/06/2024, 19:50:51",0,0,1.0,0
"03/06/2024, 19:50:53",0,0,1.0,0
"03/06/2024, 19:50:55",0,0,1.0,0
"03/06/2024, 19:50:57",0,0,1.0,0
"03/06/2024, 19:50:59",0,0,1.0,0
"03/06/2024, 19:51:01",0,0,1.0,0
"03/06/2024, 19:51:03",0,0,1.0,0
"03/06/2024, 19:51:05",0,0,1.0,0
"03/06/2024, 19:51:07",0,0,1.0,0
"03/06/2024, 19:51:09",0,0,1.0,0
"03/06/2024, 19:51:11",0,0,1.0,0
"03/06/2024, 19:51:13",0,0,1.0,0
"03/06/2024, 19:51:15",0,0,1.0,0
"03/06/2024, 19:51:17",0,0,1.0,0
"03/06/2024, 19:51:19",0,0,1.0,0
"03/06/2024, 19:51:21",0,0,1.0,0
"03/06/2024, 19:51:23",0,0,1.0,0
"03/06/2024, 19:51:25",0,0,1.0,0
"03/06/2024, 19:51:27",0,0,1.0,0
"03/06/2024, 19:51:29",0,0,1.0,0
"03/06/2024, 19:51:31",0,0,1.0,0
"03/06/2024, 19:51:33",0,0,1.0,0
"03/06/2024, 19:51:35",0,0,1.0,0
"03/06/2024, 19:51:37",0,0,1.0,0
"03/06/2024, 19:51:39",0,0,1.0,0
"03/06/2024, 19:51:41",0,0,1.0,0
"03/06/2024, 19:51:43",0,0,1.0,0
"03/06/2024, 19:51:45",0,0,1.0,0
"03/06/2024, 19:51:47",0,0,1.0,0
"03/06/2024, 19:51:49",0,0,1.0,0
"03/06/2024, 19:51:51",0,0,1.0,0
"03/06/2024, 19:51:53",0,0,1.0,0
"03/06/2024, 19:51:55",0,0,1.0,0
"03/06/2024, 19:51:57",0,0,1.0,0
"03/06/2024, 19:51:59",0,0,1.0,0
"03/06/2024, 19:52:01",0,0,1.0,0
"03/06/2024, 19:52:03",0,0,1.0,0
"03/06/2024, 19:52:05",0,0,1.0,0
"03/06/2024, 19:52:07",0,0,1.0,0
"03/06/2024, 19:52:09",0,0,1.0,0
"03/06/2024, 19:52:11",0,0,1.0,0
"03/06/2024, 19:52:13",0,0,1.0,0
"03/06/2024, 19:52:15",0,0,1.0,0
"03/06/2024, 19:52:17",0,0,1.0,0
"03/06/2024, 19:52:19",0,0,1.0,0
"03/06/2024, 19:52:21",0,0,1.0,0
"03/06/2024, 19:52:23",0,0,1.0,0
"03/06/2024, 19:52:25",0,0,1.0,0
"03/06/2024, 19:52:27",0,0,1.0,0
"03/06/2024, 19:52:29",0,0,1.0,0
"03/06/2024, 19:52:31",0,0,1.0,0
"03/06/2024, 19:52:33",0,0,1.0,0
"03/06/2024, 19:52:35",0,0,1.0,0
"03/06/2024, 19:52:37",0,0,1.0,0
